FID,OBJECTID,LON,LAT,Surge,Wave,Mass,Clear,Elev
0,1,-94.91486003,29.22463305,3.388129284,1.292838063,14.72,1.08,1.5062
1,2,-94.86298848,29.28531846,2.983526696,0.769752,14.12,4.39,1.59509
2,3,-94.86298848,29.28531846,2.983526696,0.769752,14.12,4.39,1.59509
3,4,-94.85009323,29.28857912,2.662465521,0.582198082,14.14,4.75,1.523
4,5,-94.83553274,29.28425045,3.40460074,0.874769841,7.246,3.048,1.34022
5,6,-94.90602221,29.30698559,4.643840097,1.600573902,6.67,9.144,1.524
6,7,-94.92289501,29.32213346,3.936911494,2.328469511,32.42,3.05,1.524
7,8,-94.9234964,29.32260821,3.916575597,2.340310166,14.07,0.762,1.524
8,9,-94.92322324,29.32271826,3.926445418,2.339536563,14.07,0.762,1.524
9,10,-94.93100929,29.32898835,3.551450564,2.151296926,10.329,4.42,1.524
10,11,-94.93601137,29.32988809,3.514928193,1.792655282,8.356,4.444,1.524
11,12,-94.93395838,29.33076443,3.431827731,1.922129172,7.66,4.29,1.524
12,13,-94.93302584,29.33104908,3.417957596,1.982662053,7.37,4.42,1.524
13,14,-94.77293575,29.32708129,3.565847642,0,15.56,2.04,2.4237399
14,15,-94.93176845,29.33289303,3.334517932,2.038887042,7.451,4.444,1.524
15,16,-94.82572397,29.30683693,3.284529381,0.020077829,9.5,6.1,1.38624
16,17,-94.94972583,29.34334893,1.17005476,0.101862763,15.46,6.87,1.53497
17,18,-94.94898602,29.3430179,1.114015961,0.090868329,17.17,6.87,1.524
18,19,-94.84994232,29.28860279,2.663746126,0.580580875,14.14,4.75,1.523
19,20,-94.83774102,29.28814295,3.20897875,0.629276517,12.56,4.76,1.523
20,21,-94.83594912,29.28502727,3.38510336,0.821565392,7.246,3.048,1.18416
